kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt
A14386109,자양우성2차,위탁관리,4,서림주택관리(주),위탁관리,6,에코그린티엠,위탁관리,3,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,9,144,0,무,38,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"2호선, 7호선",,5~10분이내,관공서(자양3동주민자체센터),초등학교(신양초등학교) 고등학교(자양고등학교),3,0
A14386110,자양우성3차,자치관리,5,,위탁관리,8,이엠피 서비스(주),위탁관리,5,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,725,종합계약,위탁선임,P형,고가수조식,위탁관리,17,380,0,무,39,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"2호선, 7호선",건대입구,5~10분이내,관공서(광진구청) 병원(건국대학교병원) 공원(한강시민공원),초등학교(동자초) 중학교(자양중) 고등학교(자양고) 대학교(건국대),0,0
A14386802,자양경남,위탁관리,4,우리관리(주),위탁관리,2,(주)홈스웰,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,650,단일계약,위탁선임,P형,고가수조식,위탁관리,4,56,193,무,57,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,2호선,구의,20분초과,관공서(광진구청) 병원(건국대학병원) 대형상가(삼성디지털프라자) 공원(한강시민공원),초등학교(동자초) 중학교(광양중) 고등학교(광양고) 대학교(건국대),0,9
A14387605,자양한양,자치관리,7,,자치관리,14,,위탁관리,6,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1600,단일계약,상주선임,P형,부스타방식,위탁관리,14,396,0,무,66,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,2호선,강변,5~10분이내,"관공서(광진구청) 병원(건국대학병원, 혜민병원) 대형상가(테크노마트) 공원(한강시민공원)",초등학교(성동초) 중학교(광진중) 고등학교(광양고) 대학교(건국대),8,0
A14388204,자양7차현대홈타운,위탁관리,4,율산개발 유한회사,위탁관리,4,한국보안컨설팅(주),위탁관리,2,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,936,단일계약,위탁선임,P형,부스타방식,위탁관리,6,54,213,유,39,"관리사무소, 노인정, 어린이놀이터",5분이내,7호선,,5~10분이내,관공서(광진구청) 병원(건국대학교병원) 대형상가(LG하이프라자) 공원(한강시민공원),초등학교(동자초) 중학교(자양중) 고등학교(자양고) 대학교(건국대),0,9
A14388208,자양동삼성아파트,위탁관리,4,율산개발 유한회사,위탁관리,5,세이프원,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,900,단일계약,위탁선임,R형,고가수조식,위탁관리,10,174,193,무,48,"관리사무소, 노인정, 어린이놀이터",5분이내,7호선,자양역(뚝섬한강공원),5~10분이내,관공서(광진구청) 병원(건국대학교병원) 대형상가(LG하이프라자) 공원(한강시민공원),초등학교(동자초) 중학교(자양중) 고등학교(자양고) 대학교(건국대),8,0
A10021996,광진코지웰,위탁관리,4,한국주택시설관리(주),위탁관리,,오석,위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,750,단일계약,위탁선임,P형,부스타방식,위탁관리,4,4,97,무,36,"관리사무소, 자전거보관소",5분이내,5호선,,,,,0,0
A10022135,동도센트리움캠퍼스파크,위탁관리,3,제이에스테크주식회사,,,,관리방식미정,1,,위탁관리,12,분무식,철골철근콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,3,132,0,유,41,,5~10분이내,,,10~15분이내,,,0,0
A10022318,씨즈건대힐스,위탁관리,1,(주)라이프종합관리,위탁관리,,(주)라이프종합관리,위탁관리,1,,자치관리,,,철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,2,28,47,무,54,,5분이내,,,,,,0,0
A10025404,아스하임4차,위탁관리,2,서일개발(주),위탁관리,2,상우,관리방식미정,1,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,990,종합계약,위탁선임,P형,부스타방식,위탁관리,2,132,0,무,36,관리사무소,5분이내,7호선,,5분이내,,,0,0
